D,strategy,mean_auc,std_auc,sample_aucs
1,Easily knowable,0.867037721342533,0.14744355412379773,"[np.float64(0.7136462898946059), np.float64(0.9349396525972604), np.float64(0.6450109004052201), np.float64(0.924470865088512), np.float64(0.988640586038008), np.float64(0.9244113985122068), np.float64(0.9243378516175049), np.float64(0.92451327221665), np.float64(0.9673518388064488), np.float64(0.9999701609218862), np.float64(0.9886183018159187), np.float64(0.9803922364012253), np.float64(0.5823724724921924), np.float64(0.5824358605608558), np.float64(0.9244541327694973)]"
2,Easily knowable,0.9704318043932613,0.0690104278397705,"[np.float64(0.9999469706347208), np.float64(0.99997458998763), np.float64(0.9999448339868365), np.float64(0.9999911678301748), np.float64(0.9404262681444674), np.float64(0.996578394823348), np.float64(0.9844758428208946), np.float64(0.997996143707717), np.float64(0.9999757232157286), np.float64(0.7229456742264375), np.float64(1.0), np.float64(0.9860935448125826), np.float64(0.9394597439572975), np.float64(0.9999547786154304), np.float64(0.9887133891356538)]"
3,Easily knowable,0.9913200938063103,0.015009982237304124,"[np.float64(0.9999635484772653), np.float64(0.9937509309048345), np.float64(0.9976599007675693), np.float64(0.9448139275808414), np.float64(0.9864109499398284), np.float64(0.9999282717212894), np.float64(0.9958691913178515), np.float64(0.9999757024463987), np.float64(0.9942692315508026), np.float64(0.9999889429126376), np.float64(0.9989224233579913), np.float64(0.9666227226874199), np.float64(0.9916455578794441), np.float64(0.9999834221574553), np.float64(0.9999966833930245)]"
4,Easily knowable,0.9988657792592093,0.0022219353001448863,"[np.float64(0.9989268316544051), np.float64(0.9993296079354217), np.float64(0.9995417721275315), np.float64(1.0), np.float64(0.9999911574455096), np.float64(0.9999547682307653), np.float64(0.9913336696146574), np.float64(0.9999922699042783), np.float64(0.9995528084455637), np.float64(0.9999944792448178), np.float64(1.0), np.float64(0.9987124788910862), np.float64(0.9962231388367018), np.float64(0.9999911678301746), np.float64(0.9994425387272271)]"
5,Easily knowable,0.9997116562228431,0.0007211828958497426,"[np.float64(0.9998585658591477), np.float64(1.0), np.float64(0.999829995009778), np.float64(0.9999834533114506), np.float64(1.0), np.float64(0.9998928859263307), np.float64(0.9999458737529497), np.float64(0.9999447561018489), np.float64(0.9971214837013912), np.float64(1.0), np.float64(0.9991685130000125), np.float64(1.0), np.float64(0.9999304187538387), np.float64(1.0), np.float64(0.9999988979258966)]"
6,Easily knowable,0.9998704868652215,0.0002671795205345689,"[np.float64(0.9999701920758813), np.float64(0.9999988979258966), np.float64(0.9994179711723344), np.float64(0.9990788140340326), np.float64(0.9999988927335639), np.float64(0.9999867595337608), np.float64(0.9999988927335639), np.float64(1.0), np.float64(1.0), np.float64(0.9999889688743003), np.float64(0.9999988979258966), np.float64(0.9999845398085565), np.float64(1.0), np.float64(0.9996344761605356), np.float64(1.0)]"
7,Easily knowable,0.9999391334036679,0.00011017507840245217,"[np.float64(1.0), np.float64(0.9999933719783817), np.float64(0.9998311178532114), np.float64(1.0), np.float64(0.9999911678301746), np.float64(0.9999966937776896), np.float64(0.9999867128027681), np.float64(0.9999977906594605), np.float64(0.9999790346303717), np.float64(0.9999657578178048), np.float64(0.9999944740524851), np.float64(1.0), np.float64(0.9996818913086469), np.float64(0.9996745039068718), np.float64(0.9999944844371502)]"
8,Easily knowable,0.9999972784351453,7.133560439628144e-06,"[np.float64(0.9999713304963123), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999966885853571), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.999996678200692), np.float64(0.9999944792448175)]"
9,Easily knowable,0.9999997792390238,8.260119372944259e-07,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999966885853571), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
10,Easily knowable,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
