D,strategy,mean_auc,std_auc,sample_aucs
1,New_unknowable,0.8178691976550202,0.1455493382528971,"[np.float64(0.9999569152633144), np.float64(0.6712136630311946), np.float64(0.6899927778620543), np.float64(0.6481772449840568), np.float64(0.5819779896597227), np.float64(0.6899047352531994), np.float64(0.7711660048471429), np.float64(0.999960263024285), np.float64(0.7711249217760003), np.float64(0.9175071275426191), np.float64(0.9893793729038188), np.float64(1.0), np.float64(0.9954331593978202), np.float64(0.7712286426512135), np.float64(0.7710151466288624)]"
2,New_unknowable,0.9575632571505985,0.08171237038627034,"[np.float64(0.9999922802889433), np.float64(0.7708410578538568), np.float64(0.9999591246038539), np.float64(0.9999966885853571), np.float64(1.0), np.float64(0.999992249134948), np.float64(1.0), np.float64(0.9999192993584861), np.float64(0.7733427712549483), np.float64(0.9892631981915911), np.float64(0.9956444720473965), np.float64(0.9893944021255614), np.float64(0.9968358440076264), np.float64(1.0), np.float64(0.8482674698064109)]"
3,New_unknowable,0.999996981433318,5.108292865337052e-06,"[np.float64(1.0), np.float64(0.9999922750966107), np.float64(0.9999966833930245), np.float64(0.999981223201581), np.float64(1.0), np.float64(0.9999922647119457), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(0.9999933823630467), np.float64(1.0)]"
4,New_unknowable,0.9988402638422856,0.0025629241971972592,"[np.float64(1.0), np.float64(1.0), np.float64(0.9963057333799762), np.float64(0.9984886903477597), np.float64(0.999981254355576), np.float64(0.9977321677553554), np.float64(1.0), np.float64(1.0), np.float64(0.9999944792448175), np.float64(1.0), np.float64(0.9999977906594605), np.float64(0.9901192968904488), np.float64(1.0), np.float64(0.9999922699042783), np.float64(0.9999922750966107)]"
5,New_unknowable,0.999893494901312,0.0003663303530823528,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999977854671279), np.float64(0.9999260727654151), np.float64(0.9999966885853571), np.float64(0.9985248835534775), np.float64(1.0), np.float64(0.9999592024888418), np.float64(0.9999977906594605), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
6,New_unknowable,0.9999568684456812,0.00011444588222254691,"[np.float64(1.0), np.float64(0.9999988927335639), np.float64(0.9997872477747063), np.float64(1.0), np.float64(0.9999977854671279), np.float64(1.0), np.float64(0.9995768359978741), np.float64(0.9999944688601525), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999977958517932), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
7,New_unknowable,0.9996557935707157,0.0012867217400611309,"[np.float64(1.0), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(0.9999988979258966), np.float64(1.0), np.float64(1.0), np.float64(0.9948413222418135), np.float64(1.0), np.float64(1.0), np.float64(0.9999977906594605), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
8,New_unknowable,0.999999336678605,1.49936911488807e-06,"[np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(0.9999955865112536), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999955709342562), np.float64(1.0), np.float64(1.0)]"
9,New_unknowable,0.9999985253755295,5.228872737294849e-06,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(1.0), np.float64(0.9999789878993788), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
10,New_unknowable,0.9999999265283931,2.7490558065574773e-07,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999988979258966)]"
11,New_unknowable,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
12,New_unknowable,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
13,New_unknowable,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
