D,strategy,mean_auc,std_auc,sample_aucs
1,all_probes,0.8450165629704677,0.14711994957838076,"[np.float64(0.9957931326277155), np.float64(1.0), np.float64(0.7137926619558904), np.float64(0.6480485281804159), np.float64(1.0), np.float64(0.9995871337050793), np.float64(0.6338718227443843), np.float64(0.8826543807171051), np.float64(0.967297303664736), np.float64(0.9264016203799347), np.float64(0.5824659839115488), np.float64(0.689928427903113), np.float64(0.9244255748918073), np.float64(0.9142171728527348), np.float64(0.7967647010225493)]"
6,all_probes,0.9999071646874202,0.0002666563569931284,"[np.float64(0.9999723910317556), np.float64(0.9998364724537531), np.float64(1.0), np.float64(1.0), np.float64(0.9989223298960062), np.float64(1.0), np.float64(0.9999281730669715), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999977906594605), np.float64(1.0), np.float64(0.9999922647119457), np.float64(0.999958048491413)]"
12,all_probes,0.9999964636705149,7.997416120771663e-06,"[np.float64(1.0), np.float64(0.9999679723506768), np.float64(1.0), np.float64(0.999992249134948), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999966833930246), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999944688601525), np.float64(1.0), np.float64(0.999995581318921), np.float64(1.0)]"
17,all_probes,0.999999558131892,1.6533190698883408e-06,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999933719783816), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
23,all_probes,0.9999995584780474,1.1243081035647603e-06,"[np.float64(0.9999955917035862), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(1.0), np.float64(0.9999988927335639), np.float64(1.0), np.float64(1.0)]"
28,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
34,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
39,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
45,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
51,all_probes,1.0,0.0,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]"
